K,cluster,n,median_tstar,p90_tstar
4,C1,61,82.08375164167647,85.82825155299624
4,C2,96,84.1000436238995,87.43245719549203
4,C3,89,87.95465394239913,87.95465394239913
4,C4,21,81.84965826017947,81.84965826017947
5,C1,1,,
5,C2,65,82.08375164167647,85.82825155299624
5,C3,95,84.1000436238995,87.43245719549203
5,C4,85,87.95465394239913,87.95465394239913
5,C5,21,81.84965826017947,81.84965826017947
6,C1,1,,
6,C2,65,82.08375164167647,85.82825155299624
6,C3,84,81.68077336820417,87.21498520280996
6,C4,78,87.18614830603067,87.18614830603067
6,C5,34,87.95465394239913,87.95465394239913
6,C6,5,81.84965826017947,81.84965826017947
7,C1,1,,
7,C2,65,82.08375164167647,85.82825155299624
7,C3,84,81.68077336820417,87.21498520280996
7,C4,70,87.18614830603067,87.18614830603067
7,C5,36,87.95465394239913,87.95465394239913
7,C6,9,81.84965826017947,81.84965826017947
7,C7,2,,
8,C1,1,,
8,C2,58,82.08375164167647,85.82825155299624
8,C3,75,81.68077336820417,87.21498520280996
8,C4,59,87.18614830603067,87.18614830603067
8,C5,40,87.95465394239913,87.95465394239913
8,C6,23,,
8,C7,9,81.84965826017947,81.84965826017947
8,C8,2,,
